band,band_index,f_min,f_max
Vocal,0,0,5
Vocal,1,5,10
Vocal,2,10,15
Vocal,3,15,20
Vocal,4,20,25
Vocal,5,25,30
Vocal,6,30,35
Vocal,7,35,40
Vocal,8,40,45
Vocal,9,45,46
Vocal,10,46,58
Vocal,11,58,70
Vocal,12,70,82
Vocal,13,82,94
Vocal,14,94,106
Vocal,15,106,118
Vocal,16,118,130
Vocal,17,130,142
Vocal,18,142,154
Vocal,19,154,166
Vocal,20,166,178
Vocal,21,178,186
Vocal,22,186,209
Vocal,23,209,232
Vocal,24,232,255
Vocal,25,255,278
Vocal,26,278,301
Vocal,27,301,324
Vocal,28,324,347
Vocal,29,347,370
Vocal,30,370,372
Vocal,31,372,418
Vocal,32,418,464
Vocal,33,464,510
Vocal,34,510,556
Vocal,35,556,602
Vocal,36,602,648
Vocal,37,648,694
Vocal,38,694,740
Vocal,39,740,743
Vocal,40,743,836
Vocal,41,836,929
Vocal,42,929,1025
